Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,326.0,326.94000244140625,322.57000732421875,326.3699951171875,322.91961669921875,1173300
2020-01-03,321.4800109863281,325.2900085449219,321.3299865722656,322.82000732421875,319.4071350097656,819600
2020-01-06,319.8399963378906,325.3299865722656,318.6499938964844,325.1400146484375,321.70263671875,1010000
2020-01-07,325.42999267578125,329.239990234375,324.9800109863281,326.9800109863281,323.523193359375,917700
2020-01-08,326.17999267578125,330.5899963378906,325.2200012207031,327.5,324.0376281738281,939100
2020-01-09,329.3800048828125,330.8599853515625,327.2699890136719,329.6099853515625,326.1253662109375,901900
2020-01-10,331.3800048828125,331.9800109863281,327.70001220703125,328.7300109863281,325.2546691894531,801400
2020-01-13,328.8900146484375,332.0899963378906,326.7099914550781,332.0199890136719,328.5099182128906,1379100
2020-01-14,330.4700012207031,335.0899963378906,328.0400085449219,332.79998779296875,329.28167724609375,1069800
2020-01-15,333.0,336.8900146484375,333.0,335.20001220703125,331.65631103515625,1350600
2020-01-16,337.20001220703125,338.2099914550781,334.8500061035156,336.739990234375,333.1799621582031,842000
2020-01-17,337.3699951171875,339.3399963378906,335.2699890136719,339.19000244140625,335.6040954589844,1100300
2020-01-21,339.6000061035156,341.7099914550781,336.7799987792969,337.260009765625,333.69451904296875,1340700
2020-01-22,337.7799987792969,342.260009765625,337.5299987792969,340.04998779296875,336.4549560546875,922500
2020-01-23,339.5199890136719,339.8900146484375,332.8699951171875,335.3800048828125,331.8343505859375,1213800
2020-01-24,337.1199951171875,337.7099914550781,331.5199890136719,333.67999267578125,330.15234375,945800
2020-01-27,327.3599853515625,332.6199951171875,326.7099914550781,330.9599914550781,327.4610900878906,1236100
2020-01-28,332.2300109863281,334.44000244140625,329.2200012207031,333.260009765625,329.7367858886719,1667000
2020-01-29,335.6300048828125,337.6400146484375,333.3900146484375,333.8900146484375,330.36016845703125,1434400
2020-01-30,322.0,325.0,317.0,319.8599853515625,316.4784240722656,3670000
